Common Name(s),All Synonyms,Country of origin,Pedigree,Hectares cultivated (Year),Year of introduction
Abbuoto,"Aboto, Cecubo.","Italy, Lazio",,717 (2000),1984
Abouriou,"Beaujolais, Early Burgunder, Early Burgundy, Gamay Beaujolais, Gamay du Rhône, Gamay St-Laurent, Malbec Argente Negret de la Canourgue, Noir Hatif, Plant Abouriou, Plant Précoce, Précoce Naugé, Précoce Noir, Pressac de Bourgogne.","France, Southwest",Potential (not yet confirmed) parent is Magdeleine Noire des Charentes,,
Alexandroouli,"Aleksandroouly, Aleksandrouli, Aleksandrouli shavi, Alexandreouli, Alexandreuli, Alexandroouli, Alexandrouly, Alexsandrouli, Kabistona, Kabistoni.",Georgia,,,
Akhasheni,Akhashenuli,Georgia Eastern parts.,,,
Abrusco,"Abrostalo, Abrostine, Abrostino, Abrusco nero, Abrusco nero di toscana, Abrusio, Colore, Colorino","Italy, Tuscany",,6 (2000),< 1600
Acolon,,Germany,Blaufränkisch x Dornfelder,135,1971
Ada Karasi,"Adakarasi, Adakarassy, Avsa adasi, Avsa island, Balikesir, Erdek, Noir des iles.",Turkey,,,
Affenthaler,"Affenthaler schwarzblau, Affenthaler blauer, Blauer affenthaler, Burgunder saeuerlich, Kleiner trollinger, Morillon aigret, Pineau aigret, Saeuerlicher burgunder, Schwarzblaue affenthaler, Trollinger klein.",Germany,One parent may be Heunisch weiss,,
Agiorgitiko,"Aghiorghitico, Aghiorghitiko, Nemeas Mavro, Nemeas Mavroudi, St.George.",Greece,,,
Aglianico,"Aglianco di puglia, Aglianica, Aglianichella, Aglianichello, Aglianico amaro, Aglianico crni, Aglianico del vulture, Aglianico di castellaneta, Aglianico di taurasi, Aglianico femminile, Aglianico mascolino, Aglianico nero, Aglianico pannarano, Aglianico tringarulo, Aglianico zerpoluso, Aglianico zerpuloso, Aglianicuccia, Agliano, Agliatica, Agliatico, Agnanico, Agnanico di castellaneta, Alianiko, Cascavoglia, Cerasole, Ellanico, Ellenico, Fiano rosso, Fresella, Gagliano, Ghiandara, Ghianna, Ghiannara, Glianica, Gnanica, Gnanico, Granica, Granico, Olivella di san cosmo, Prie blanc, Ruopolo, Spriema, Tringarulo, Uva catellaneta, Uva dei cani, Uva di castellaneta, Uva nera.","Italy, Basilicata and Campania",,,
Aglianicone,"Aglianico bastardo, Aglianicone nero, Glianicone, Ruopolo.","Italy, Basilicata and Campania",,140 (2000),
Agni (grape) [cs],,Czech Republic,Andre × Irsai Olivér,,
Agronomica,,Portugal,,,
Agua Santa,,Portugal,Camarate × Periquita,,1948
Aidani Mavro,"Aedano mavro, Aidani noir, Aidano mavro, Ithani mavro, Mavraidano, Mayraedano, Santorin.",Greece,,,
Aladasturi,"Aladastouri, Anadassaouli, Anadassaouli femelle, Anadassaouli male, Anadastouri.",Georgia,,,
Albaranzeuli nero,,"Italy, Sardinia",,,
Albarossa,"Dalmasso, Incrocio dalmasso.","Italy, Veneto region",Chatus (Nebbiolo Di Dronero) x Barbera,10 (2000),1938
Aleatico,"Aglianico nero, Agliano, Agliatico, Aleatiau, Aleatica, Aleatica di firenze, Aleatichina, Aleatico, Aleatico ceragino, Aleatico ciliegino, Aleatico comune, Aleatico de corse, Aleatico de florence, Aleatico de portoferraio, Aleatico de solmona, Aleatico dell'elba, Aleatico di altamura, Aleatico di benevento, Aleatico di firenze, Aleatico di portoferraio, Aleatico di sulmona, Aleatico di toscana, Aleatico gentile, Aleatico nera della toscana, Aleatico nero, Aleatico nero della toscana, Aleatico nero di fermo, Aleatico nero di firenze, Aleatico perugino, Aleaticonera, Aleaticu, Aleatiko, Aleatiko nero, Alegatico, Aliatico, Aliatico di benevento, Aliaticu, Alleaticu, Allianico, Allianico degli abruzzi, Blacan, Halapi, Ispanskii rozovyi, Lacrima christi, Lakrima dolche, Lakrima kriati, Leatico, Livatica, Mockatele livatike, Moscatele livatice, Moscatelle livatiche, Moscatello nero, Moscato nero, Moskatele livatike, Muscatellus, Muskat toskanski, Muskat toskanskij, Myuskatele livatike, Nero, Occhio di pernice, Occhio di pernice nera, Ogliatico, Pelaverde, Rossanella, Uva aleatica, Uva aleatico, Uva dei gesuiti, Uva liatica, Uva liatika, Vernaccia di pergola, Vernaccia moscatella.",Italy,,,<14th century
Alexandroouli,"Aleksandroouly, Aleksandrouli, Aleksandrouli shavi, Alexandreouli, Alexandreuli, Alexandroouli, Alexandrouly, Alexsandrouli, Kabistona, Kabistoni.",Georgia,,,
Alexander,"Alexandria, Black cape, Black grape, Buck grape, Cape, Cape grape, Clifton's constantia, Clifton's lombardia, Columbian, Constantia, Farkers grape, Madeira of york, Rothrock, Rothrock of prince, Schuylkill, Schuylkill muscadel, Schuylkill muscadine, Springmill constantia, Tasker's grape, Vevay, Vevay winne, Winne, York lisbon.",United States,Vitis Labrusca × ?,,
Alfrocheiro,"Albarin frances, Albarin negrin, Albarin negro, Albarin tinto, Albarinon, Alfrocheiro preto, Alfrucheiro, Alfurcheiro, Baboso negro, Bastardo negro, Brunal, Caino gordo, Tinta bastardinha, Tinta francesa de viseu, Tinta francisca de viseu, Tinto serodo.",Portugal,,,
Alicante Henri Bouschet,"Alicant de pays, Alicante, Alicante bouchet, Alicante bouschet, Alicante bouschet crni, Alicante extra fertile, Alicante femminello, Alicanteh Bouschet, Alicante nero, Alicante noir, Alicantina, Alikant buse, Alikant, Buse bojadiser, Alikant bushe, Alikant bushe ekstrafertil, Alikant genri bushe, Alikante henri bouschet, Aragonais, Aragones, Arrenaou, Baga, Bakir uezuemue, Barvarica, Blasco, Bojadiserka, Carignan jaune, Cupper grape, Dalmatinka, Garnacha, Garnacha tintorera, Kambusa, Lhadoner, Moraton, Mouraton, Murviedro, Negral, Pe de perdiz, Pe de pombo, Petit bouschet, Redondal, Rivesaltes, Rivos altos, Roussillon, Rouvaillard, Sumo tinto, Tinta fina, Tinta francesa, Tinto, Tinto nero, Tinto velasco, Tintorera, Tintorera de liria, Tintorera de longares, Tinturao, Uva di spagna.",France,Petit Bouschet x Grenache,,1855
Allegro,Geisenheim,Germany,Chancellor × Rondo,,1983
Amaral,"Amaral preto, Azal, Azal preto, Azal tinto, Azar, Cachon, Cainho bravo, Cainho miudo, Caino, Caino bravo, Caino tinto, Cainzinho, Sousao, Sousao galego.",Portugal,,,
Ancellotta,,Spain,Cañocazo × Pedro Ximénez 2,19 (Switzerland 2009),
André (grape) [cs],"Andrea, Semenac.",Czech Republic,Blaufränkisch × St. Laurent,,1960
Antey Magarachsky,"Antei magarachskii, Antei, Antei magaracha, Antei magaratchsky, Antej magaratscha, Antey magarachskii, Magarach.",Ukraine,Rubinovyi Magaracha × Seyve Villard 20347,,1971
Aragónez,"Albillo negro, Aldepenas, Aragon, Aragones, Aragonez, Aragonez da ferra, Aragonez de elvas, Arauxa, Arganda, Arinto tinto, Cencibal, Cencibel, Cencibera, Chinchillana, Chinchillano, Chinchilyano, Crujidera, Cupani, De por aca, Escobera, Garnacho fono, Grenache de logrono, Jacibera, Jacibiera, Jacivera, Juan garcia, Negra de mesa, Negretto, Ojo de liebre, Olho de lebre, Palomino negro, Pinuela, Roriz, Sensibel, Tempranilla, Tempranillo, Tempranillo crni, Tempranillo de la rioja, Tempranillo de perralta, Tempranillo de rioja, Tempranillo de rioza, Tempranillo rioja, Tinta aragones, Tinta corriente, Tinta de madrid, Tinta de santiago, Tinta de toro, Tinta del pais, Tinta do inacio, Tinta do pais, Tinta fina, Tinta madrid, Tinta monteira, Tinta monteiro, Tinta roris, Tinta roriz, Tinta santiago, Tinto aragon, Tinto aragones, Tinto aragonez, Tinto de la ribera, Tinto de madrid, Tinto de rioja, Tinto de toro, Tinto del pais, Tinto del toro, Tinto fino, Tinto fino de Madrid, Tinto madrid, Tinto pais, Tinto ribiera, Tinto riojano, Tinto tempranillo, Ull de liebre, Ull de llebre, Valdepenas, Verdiell, Vid de aranda.",Spain,Albillo Mayor x Benedicto,"170,000 (2004)",
Aramon Noir,"Amor Nao Me Deixes, Aramon, Aramon Chernyi, Aramon Crni, Aramon Negro, Aramon Noire, Aramon Pignat, Aramon Pigne, Aramon Rozovyi, Aramon Saint Joseph, Aramone, Aramonen, Aramont, Arramant, Arramont, Burchardt's Prince, Burckarti Prinz, Burkhardt, Eramoul, Eromoul, Gros Bouteillan, Kek Aramon, Pisse Vin, Plant Riche, Rabalaire, Ramonen, Reballaire, Reballayre, Revalaire, Revellaire, Ugni Neru, Ugni Nevu, Ugni Noir, Uni Negre, Uni Noir.","France, Languedoc",Ouliven x Heunisch Weiss,"9,100 (France 2000)",
Areni,"Areni sev, Areni chemyl, Areni chernyi, Areni noir, Areni tcheurny, Areny, Areny tcherny, Lyalai, Malagi, Malagui, Malahi noir, Malai sev, Malat, Malayi, Memeyi, Mialai, Milahi, Milai chernyi, Milai noir, Milaj sev, Milakhi, Movouz, Movuz, Myalai, Myalan, Ordoutchi sev, Ordoutzi sev, Ordutsi sev, Orduzi sev, Ourdoussi, Ourdusi, Ourza sev, Sev areni, Sev malahi, Urdusi, Ursa sev, Urza sev, Usza sev.",Armenia,,,
Argaman,,Israel,,,
Argant,"Argan, Blaue Gansfuesser, Blauer Gansfuesser, Bockshorn, Buchser, Erlenbacher, Espagnol, Gaensefuessler, Gaensfuessel, Gaensfuesser, Gaensfuesser Blau, Gaensfuessler, Gansfyuser, Gros Margilien Espagnol, Gros Margillien, Gros Margillien Arbois, Grossrote, Margilien, Margillien, Margillin, Rouillot, Schwarzer Erlenbacher, Tokai Chernyi, Tokai Rannii.",Spain,,,
Arinarnoa,,France,Tannat × Cabernet Sauvignon,,1956
Arinto de Bucelas,"Arintho, Arinto Cachudo, Arinto Cercial, Arinto D'anadia, Arinto Galego, Asal Espanhol, Asal Galego, Assario Branco, Azal Espanhol, Azal Galego, Boal Cachudo, Branco Espanhol, Cerceal, Chapeludo, Malvasia Fina, Pe De Perdiz Branco, Pederna, Pedernao, Pedrena, Terrantez Da Terceira, Val De Arintho.",Portugal,,,
Arnsburger,"Arns burguer, Arnsburguer, Geisenheim.",Germany,Müller-Thurgau × Weisser Gutedel,,1939
Arrouya,"Arhuya, Aroyat, Arrouyat, Arroya, Arruya, Dourec Noir, Eremachaoua, Erematxahua, Rouja, Vieux Rouge.","France, Jurançon AOC",,,
Ashughaji,"Achougage, Atpizh, Atpyuzh, Atriuzh, Atvige, Atvizh, Ashugazh.",Georgia,,,
Aspiran Bouschet,"Aspiran Bouchet, Aspiran Bouson, Grand Noir De Laques, Spigamonti.","France, Languedoc",Rivairenc × Teinturier,7 (1988),1865
Aspiran Noir,"Aspiran, Aspiran Chernyi, Aspiran Csornüj, Aspirant, Epiran, Espiran, Peyral, Peyrar, Piran, Ribeyrenc, Rivairenc, Riverain, Riveyrenc, Riveyrene, Spiran, Verdai, Verdal, Verdal Noir.",France,,,
Assario,Assario Negro,Portugal,,,
Asuretuli Shavi,"Assouretouli, Assouretouli chavi, Asuretuli, Asuretuli sciavi, Chalbtchbaru, Chalbtraouvan, Chalchvarce, Chale, Chaltraouben, Sal uezuem, Schalltraube, Shadi traube, Shal, Shal izyum, Shal uzum, Shal'shvarsh, Shal'shvarts, Shala, Shalsharz, Shalshvari, Shalshvarts, Shaltraube, Shaltrauben.",Georgia,,,
Aubun,,"France, Rhone valley",,"1,400 (2000)",
Avanà,"Alvana Di Susa, Avana, Avana De Susa, Avana Di Susa, Avana Nero, Avanale, Avanas, Avanato, Avane, Avena, Avenai, Bibou, Davana, Guibou, Havana, Havana, Hibou, Hibou Noir, Hivernais, Hyvernais, Luisant, Palofrais, Polafrais, Polofrais, Pometre, Promeche, Promere, Raisin Cerise, Ribou, Vermaglio.","Italy, Piedmont",,30 (2000),
Avarengo,"Amarene, Avarena, Avarenc, Avarene, Avarengo Comune, Avarengo Comune Nero, Avarengo Di Piemonte, Avarengo Fino, Avarengo Grosso, Avarengo Mezzano, Avarengo Piccolo, Avarengo Rama-Bessa, Avarengo Ramabessa, Avarengo Ramafessa, Boffera, Croassera, Mostera Ivrea, Mostera Nera, Mosterce, Mostero, Mostero Rosso, Mosto, Mostona, Mostosa, Mostoson, Muster, Riondasca, Riondosca, Riundasca, Rondasca.","Italy, Piedmont",,,
Avgoustiatis,"Avgoustella, Aygoustiates.",Greece,,,
Băbească neagră,"Aldarusa, Asil Kara, Babeasca, Babiasca Niagra, Babiaska Niagra, Bobiaska Niagra, Bobyaksa Nigra, Bobyaska Nyagra, Bobyaska Nyaqra, Caldarusa, Cerniy Redkiy, Chernyi Redkii, Chernyj Redkij, Chernyl Redkyl, Ciornai Redchii, Ciornii Redchii, Coldarusha, Copuiac, Cracana, Cracanata, Crecanat, Crecanate, Gara Serektsiya, Gara Serexia, Goldaroucha, Grossmuttertraube, Hexentraube, Kaouchanskii, Koldaroucha, Koldarusa, Koldarusha, Koldursha, Koptchak, Koptchakk, Krekanat, Krekanate, Loose Black Grape, Neagra Rara, Niagra Rara, Nyagra Rara, Poama Rara Neagra, Poma Rara Niagra, Poma Rara Nyagra, Qara Dereksiya, Racanata, Ramturata, Rara Neagra, Rara Negra Moldarsky, Rara Niagra, Rara Nyagra, Rara Nyaqra, Raraneagra, Raschirata, Rastoparca, Rastopirka, Rastopyrka, Rastrepa, Rastreppa, Rastriopa, Redkyi Chernyi, Rekhavo Grazdi, Rekhavo Grozdi, Rekhavo Grozdy, Rexavo Grozdi, Richkirate, Richkiriata, Riedkym, Rimpurate, Rimtsurate, Rimtzourate, Rindsourata, Rishki Rate, Rishky Rate, Riski Rate, Rossmuffertraube, Rostopiska, Rostopoveska, Rychkirate, Rymourate, Rympurate, Ryshkirate, Saesser, Sassep, Sasser, Serecsia, Serecsia Ciornaia, Serectia, Serectia Ciornaia, Serekcia Tcheurnaia, Sereksia, Sereksia Chornaya, Sereksiya, Sereksiya Chernaya, Sereksiya Tschiornaya, Serektsiya, Serescia, Serexia, Serexia Noir, Serexia Tcheurnaia, Sesser, Stropatai, Stropatny, Stropatnyj, Stropaty, Stropatyi, Tchernyi Redkii, Tcheurny Redky, Timofeevka, Totlear, Tsotler, Tsotlyar.",Romania,,"6,300 (2005)",
Babić,"Babcevica, Babic Crni, Babic Mali, Babic Pivati, Babic Pluskavi, Babic Veliki, Babica Crna, Babica Crni, Babica Gresljivka Crni, Babica Mala, Babica Velika, Babicevic, Babicevica, Babika, Babika Vela, Babina, Babinka, Babinka Vela, Babitch, Babitza, Babytch, Crnac Rani, Crnac Rani A Sibenik, Divljak A Zadar, Grastavac, Gresljivka, Pazanin, Resljivka, Rogoznicanin, Rogoznicka, Roguljanac, Roguljanak A Sibenik, Shibenchanatz, Sibencanac, Sibencanac A Zadar.",Croatia,,,
Bachet Noir,"Bachet, Bachey, Francois, Francois Noir, Francois Noir De Bar-Sur-Aube, Gris Bachet.",France,Heunisch Weiss × Pinot,,
Baco Noir,"Baco, Baco Negru, Bacoi, Bago, Bako Noar, Bako Sieiski, Bako Speiskii, Bakon, Wolfschlugen, Frybert.",France,Folle Blanche × Riparia Grand Glabre,,
Baga,"Baga De Louro, Bagrina Crvena, Baguinha, Bairrada, Bairrado Tinta, Baya, Carrasquenho, Carrega Burros, Goncalveira, Morete, Moreto, Paga Divida, Paga Dividas, Poeirinha, Poeirinho, Povolide, Preiinho, Pretinho, Preto Rifete, Rifete, Rosete, Tinta Bairrada, Tinta Bairradina, Tinta Da Bairrada, Tinta De Baga, Tinta Fina.",Portugal,,,
