Variety	Type
Par€	white
Pardillo	white
Pardina	white
Parellada	white
Pascal blanc	white
Passerina	white
Pearl of Csaba	white
Pecorello	white
Pecorino	white
Pedro GimÌ©nez	white
Pedro Luis	white
Pedro XimÌ©nez	white
Perle	white
Perrum	white
Petit Courbu	white
Petit Manseng	white
Petit Meslier	white
Petite Arvine	white
Picardan	white
Picardin	white
Piccolit	white
Piccolito	white
Picolit	white
Picpoul	white
Pigato	white
Pignerol	white
Pignoletto	white
Pineau de la Loire	white
Pinella	white
Pinot bianco	white
Pinot blanc	white
Pinot grigio	white
Pinot gris	white
Piquepoul blanc	white
Piquepoul gris	white
Plant de Graisse	white
Planta Fina	white
Planta Nova	white
Plavai	white
Plavay	white
PoÁip	white
PriÌ© blanc	white
Prosecco	white
Prunesta	white
RÌ¬ze	white
Rabigato	white
Rabo de Ovelha	white
Raisin blanc	white
Rauschling	white
R€uschling	white
Regner	white
Reichensteiner	white
Retagliado bianco	white
Rheinriesling	white
Rhoditis	white
Ribolla Gialla	white
Riddu	white
Rieslaner	white
Riesling	white
Riesling Italico	white
Rivaner	white
Rkatsiteli	white
Rkatsiteli	white
Robola	white
Robola	white
Roditis	white
Rolle	white
Rollo	white
Romorantin	white
Rossese bianco	white
Rossese bianco	white
Roter Veltliner	white
Rotgipfler	white
Roupeiro	white
Roussanne	white
Roussette	white
Rovello bianco	white
SÌÁrfehÌ©r	white
SÌ©millon	white
Sabro	white
Sacy	white
Saint-Pierre DorÌ©	white
Sarfeher	white
Sauvignon blanc	white
Sauvignon gris	white
Sauvignon vert	white
Sauvignonasse	white
Savagnin	white
Savagnin blanc	white
Savatiano	white
SchÌ¦nburger	white
Scheurebe	white
Septiner	white
Sercial	white
Sereksia	white
Sideritis	white
Siegerrebe	white
Silvaner	white
Smederevka	white
Souvignier gris	white
SpÌ_trot	white
Spagnol	white
Ste Marie	white
Sultana	white
Sylvaner	white
Symphony	white
TÌ©oulier	white
T€ÄmÌ¢ioas€Ä RomÌ¢neasc€Ä	white
TamÌ¨ioasa	white
TamarÌ»z	white
Tamares	white
Tamianka	white
Taminga	white
Tempranillo blanco	white
Terrantez	white
Terret gris	white
Thrapsathiri	white
Timorasso	white
Torbato	white
Torontel	white
TorrontÌ©s	white
Tourbat	white
Trajadura	white
Traminer	white
Tramini	white
Trbljan	white
Trebbiano	white
Treixadura	white
Tresallier	white
Trousseau gris	white
Tsaoussi	white
Tsolikauri	white
Ugni blanc	white
Vega	white
Verdea	white
Verdeca	white
Verdejo	white
Verdelho	white
Verdello	white
Verdello	white
Verdesse	white
Verdia	white
Verdicchio	white
Verdil	white
Verdiso	white
Verdoncho	white
Verdosilla	white
Verduzzo	white
Verduzzo Trevigiano	white
Vermentino	white
Vernaccia	white
Vernaccia di Oristano	white
Veroga	white
Versoaln	white
Vespaiola	white
Vidiano	white
Vilana	white
Vinhao	white
Viognier	white
Viosinho	white
Vital (grape)	white
Vitovska	white
Voskehat	white
Vugava	white
WÌ_rzer	white
Weldra	white
Welschriesling	white
Xarelåálo	white
Xarello	white
Xuri Zerratua	white
Xynisteri	white
ZÌ©ta	white
Zala GyÌ¦ngye	white
Zalema	white
Zefir	white
ZengÔ	white
Zenit	white
Zeusz	white
Zierfandler	white
